date,Historical,LSTM_F5_Nothing,GRU_F5_Nothing,LSTM_F5_TI189,GRU_F5_TI189,LSTM_F5_Futures,GRU_F5_Futures,LSTM_F5_Category,GRU_F5_Category,LSTM_F5_XGBTI15,GRU_F5_XGBTI15
2021-03-09,11.199999809265137,11.572260856628418,10.870041847229004,10.896916389465332,10.865386009216307,11.085249900817873,10.890032768249512,11.04818630218506,11.009650230407717,11.020074844360352,10.865595817565918
2021-03-10,11.199999809265137,11.75978183746338,11.218640327453613,11.074075698852539,11.065534591674805,11.182744979858398,11.161097526550293,11.637979507446287,11.516199111938475,11.214395523071287,11.260181427001953
2021-03-11,11.050000190734863,11.752277374267578,11.206781387329102,11.155120849609377,11.089625358581543,11.140947341918944,11.149971961975098,11.431479454040527,11.341429710388185,11.20330810546875,11.229970932006836
2021-03-12,11.050000190734863,11.660062789916992,11.06735134124756,11.022119522094727,10.903658866882324,11.049707412719727,11.014154434204102,11.27487564086914,11.1566743850708,11.114180564880373,11.085227966308594
2021-03-15,11.050000190734863,11.628116607666016,11.065703392028807,11.105650901794434,11.05003547668457,11.005802154541016,11.01476764678955,11.23993682861328,11.169824600219727,11.102152824401855,11.08154582977295
2021-03-16,11.100000381469727,11.606389999389648,11.028024673461914,11.106579780578613,11.052388191223145,10.982366561889648,11.00303554534912,11.206674575805664,11.159906387329102,11.097604751586914,11.060226440429688
2021-03-17,10.899999618530273,11.670198440551758,11.148804664611816,11.183982849121094,11.142552375793457,11.03493881225586,11.096312522888184,11.154751777648926,11.152233123779297,11.185219764709473,11.170723915100098
2021-03-18,10.899999618530273,11.583168029785154,10.980986595153807,10.903247833251953,10.8754301071167,10.99517822265625,10.959595680236816,10.828911781311037,10.882542610168457,11.066990852355957,10.988243103027344
2021-03-19,10.850000381469727,11.447418212890625,10.861738204956056,10.862069129943848,10.830316543579102,10.893655776977539,10.823318481445312,10.79698371887207,10.851724624633787,10.960702896118164,10.88821506500244
2021-03-22,10.649999618530273,11.400343894958494,10.858294486999512,10.877788543701172,10.743999481201172,10.821175575256348,10.803056716918944,10.853452682495117,10.93254566192627,10.926594734191896,10.886088371276855
2021-03-23,10.949999809265137,11.25860595703125,10.648398399353027,10.714442253112793,10.851479530334473,10.71854305267334,10.61512851715088,10.582856178283693,10.620759963989258,10.782108306884766,10.680215835571287
2021-03-24,10.75,11.26876163482666,10.750895500183104,11.018025398254396,10.973389625549316,10.701623916625977,10.695775032043457,10.751974105834961,10.85224437713623,10.863750457763672,10.83149242401123
2021-03-25,10.649999618530273,11.329339027404785,10.83087158203125,10.763705253601074,10.833619117736816,10.73834228515625,10.781185150146484,10.818381309509276,10.87975025177002,10.882174491882324,10.858319282531738
2021-03-26,10.649999618530273,11.202688217163086,10.63241958618164,10.563779830932617,10.79378890991211,10.672781944274902,10.606505393981934,10.706666946411133,10.698920249938963,10.741979598999023,10.647862434387207
2021-03-29,10.75,11.17702865600586,10.6632719039917,10.584850311279297,10.61853313446045,10.639654159545898,10.627277374267578,10.706231117248537,10.719805717468262,10.725122451782227,10.694906234741213
2021-03-30,11.050000190734863,11.220794677734377,10.734779357910156,10.741606712341307,10.80228328704834,10.667564392089844,10.704854011535645,10.897625923156738,10.908369064331056,10.776941299438477,10.758310317993164
2021-03-31,11.0,11.453152656555176,10.983603477478027,11.086097717285156,10.99913215637207,10.860596656799316,10.95600700378418,11.103574752807617,11.14254093170166,11.010774612426758,11.000235557556152
2021-04-01,10.949999809265137,11.48549747467041,10.96603012084961,11.032964706420898,10.96699047088623,10.916777610778807,10.962294578552246,11.05390739440918,10.991546630859377,10.999918937683104,10.965270042419434
2021-04-07,10.899999618530273,11.471146583557127,10.905881881713867,10.935473442077637,10.8676176071167,10.924543380737305,10.905515670776367,10.98936653137207,10.948942184448242,10.950555801391602,10.95585823059082
2021-04-08,11.300000190734865,11.419967651367188,10.874216079711914,10.839727401733398,10.79052734375,10.88352108001709,10.851920127868652,10.925033569335938,10.902573585510254,10.901352882385254,10.897849082946776
2021-04-09,11.350000381469727,11.792281150817873,11.28881549835205,11.231451988220217,11.141794204711914,11.17211627960205,11.252889633178713,11.390570640563965,11.47473430633545,11.276304244995115,11.32994556427002
2021-04-12,11.699999809265135,11.878483772277832,11.333189010620115,11.403902053833008,11.09095287322998,11.286420822143555,11.308056831359865,11.438623428344727,11.411800384521484,11.328725814819336,11.33800983428955
